0,,,These statistics will no longer be updated. See more info on the Info-tab.,,,,,,,,,,,,,,,,   Beräkningen är standardiserad för att månader med olika antal dagar ska kunna jämföras. 
1,,,,,,,,,,,,,,,,,,,2 Statistiken för år 2023 är preliminär.
2,,,,,,,,,,,,,,,,,,,
3,"Antal döda per 100 000 invånare1 per månad åren 2015-20232, Riket, län och kommun",,,,,,,,,,,,,,,,,,1 The calculation is based on the population at the start of each month.
4,"Number of deaths per 100 000 inhabitants1 per month, 2015-20232, Country, county and municipal level",,,,,,,,,,,,,,,,,,  The calculation is standardised to ensure comparison between months of different lengths.
5,,,,,,,,,,,,,,,,,,,2 Statistics for 2023 are preliminary.
6,,,,,,,,,,,,,,,,,,,
7,Region,Månad / Month,År / Year,,,,,,,,,,,,,,,,
156, Nynäshamn,april,66.3,50.8,79.0,56.9,95.3,90.6,58.9,67.5,72.9,12,,11. Döda_P_100000_30Dgr,4,,,,
157, Nynäshamn,maj,81.8,77.1,69.4,75.6,102.2,80.9,73.6,71.8,0.0,12,,11. Döda_P_100000_30Dgr,5,,,,
158, Nynäshamn,juni,66.1,68.7,125.3,81.7,66.9,87.0,68.8,50.5,0.0,12,,11. Döda_P_100000_30Dgr,6,,,,
159, Nynäshamn,juli,53.2,73.3,79.6,82.5,61.2,77.4,43.2,74.9,0.0,12,,11. Döda_P_100000_30Dgr,7,,,,
160, Nynäshamn,augusti,53,101.3,69.1,109.9,64.5,70.6,46.4,61.8,0.0,12,,11. Döda_P_100000_30Dgr,8,,,,
161, Nynäshamn,september,69.3,68.5,85.7,56.8,77.0,52.1,51.4,87.3,0.0,12,,11. Döda_P_100000_30Dgr,9,,,,
162, Nynäshamn,oktober,60,73.3,82.9,68.7,88.0,70.6,86.1,74.6,0.0,12,,11. Döda_P_100000_30Dgr,10,,,,
163, Nynäshamn,november,87.5,79.4,89.2,60.3,87.5,104.2,68.3,107.1,0.0,12,,11. Döda_P_100000_30Dgr,11,,,,
164, Nynäshamn,december,70.5,94.2,93.1,95.8,81.3,124.3,75.8,77.5,0.0,12,,11. Döda_P_100000_30Dgr,12,,,,
165, Salem,januari,83.9,58.9,75.7,75.5,63.4,80.9,91.3,50.5,128.3,12,,11. Döda_P_100000_30Dgr,1,,,,
166, Salem,februari,53,81.7,64.3,90.1,31.9,80.2,25.2,62.0,43.1,12,,11. Döda_P_100000_30Dgr,2,,,,
167, Salem,mars,71.8,58.7,110.3,46.5,69.2,103.7,80.0,50.4,44.4,12,,11. Döda_P_100000_30Dgr,3,,,,
168, Salem,april,55.6,30.3,54.0,54.0,65.5,113.2,94.4,40.5,40.1,12,,11. Döda_P_100000_30Dgr,4,,,,
169, Salem,maj,41.8,35.1,58.0,81.0,69.2,75.0,57.1,39.3,0.0,12,,11. Döda_P_100000_30Dgr,5,,,,
170, Salem,juni,67.9,36.2,77.9,11.9,41.6,53.8,41.2,52.1,0.0,12,,11. Döda_P_100000_30Dgr,6,,,,
171, Salem,juli,59.7,52.5,58.0,34.5,69.0,46.2,85.7,39.1,0.0,12,,11. Döda_P_100000_30Dgr,7,,,,
172, Salem,augusti,41.6,46.7,63.8,40.3,28.7,34.5,40.0,33.5,0.0,12,,11. Döda_P_100000_30Dgr,8,,,,
173, Salem,september,55.3,42.2,42.0,47.6,53.5,59.5,59.0,46.2,0.0,12,,11. Döda_P_100000_30Dgr,9,,,,
174, Salem,oktober,47.4,40.8,69.6,92.1,80.6,46.1,34.0,61.6,0.0,12,,11. Döda_P_100000_30Dgr,10,,,,
175, Salem,november,18.3,60.1,66.0,47.6,53.6,77.0,46.7,63.6,0.0,12,,11. Döda_P_100000_30Dgr,11,,,,
176, Salem,december,70.8,93.2,58.0,75.0,17.3,62.9,67.5,94.9,0.0,12,,11. Döda_P_100000_30Dgr,12,,,,
177, Sigtuna,januari,85.6,58.3,58.6,55.4,60.3,51.4,82.1,52.0,63.4,12,,11. Döda_P_100000_30Dgr,1,,,,
178, Sigtuna,februari,68,43.7,71.6,61.2,55.6,76.0,54.1,55.4,49.5,12,,11. Döda_P_100000_30Dgr,2,,,,
